"symbol","buy","sell"
"EURCHF","0.9913","1.0087763542822556"
"EURHRK","7.519","0.13299640909695437"
"EURMXN","20.8477","0.0479669220105815"
"EURZAR","17.1922","0.05816591244866858"
"EURINR","80.528","0.012418040929862904"
"EURCNY","6.8095","0.14685366032748368"
"EURTHB","36.602","0.027320911425605162"
"EURAUD","1.4871","0.6724497343823549"
"EURILS","3.5325","0.28308563340410475"
"EURKRW","1321.61","7.566528703626638E-4"
"EURJPY","138.05","0.007243752263672582"
"EURPLN","4.763","0.20995171110644553"
"EURGBP","0.84585","1.1822427144292724"
"EURIDR","15210.73","6.574306427107706E-5"
"EURHUF","402.45","0.0024847807181016274"
"EURPHP","56.882","0.017580253858865722"
"EURTRY","17.6026","0.05680978946292026"
"EURISK","139.5","0.007168458781362007"
"EURHKD","7.9769","0.12536198272511878"
"EURDKK","7.4424","0.13436525851875739"
"EURUSD","1.0163","0.9839614287119945"
"EURCAD","1.3201","0.7575183698204682"
"EURMYR","4.4992","0.22226173541963015"
"EURBGN","1.9558","0.5112997238981491"
"EURNOK","10.263","0.09743739647276625"
"EURRON","4.9431","0.2023021990249034"
"EURSGD","1.4228","0.7028394714647175"
"EURCZK","24.614","0.04062728528479727"
"EURSEK","10.6665","0.09375146486663855"
"EURNZD","1.6464","0.6073858114674441"
"EURBRL","5.4345","0.18400956849756187"
